Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Saiyyan","Kailash Kher","Jhoomo Re","Sad🥺❤️","Playlist","INS170709140","37AGZMVr5V8mEMcCmGHroZ"
"Aaj Bhi","Vishal Mishra","Aaj Bhi","Sad🥺❤️","Playlist","INUM72000011","6LpswW9691XT9OjVSvDU6G"
"Ishq Mubarak","Arijit Singh","Tum Bin 2","Sad🥺❤️","Playlist","INS181601764","4M513o3dSYspKeT6UNJpcx"
"Sawan Aaya Hai (From ""Creature 3D"")","Arijit Singh","Love Forever With Arijit Singh","Sad🥺❤️","Playlist","INS181401653","4WMHDpmfuLwM2Ty8KQXZjN"
"Kuch To Hai (From ""Do Lafzon Ki Kahani"")","Armaan Malik","Armaan Malik - The Musical Archduke","Sad🥺❤️","Playlist","INS181600701","4ZcgoFLdmqLBCoBCCSOX7B"
"Dil Mein Chhupa Loonga","Meet Bros.","Bollywood Romantic Songs With Armaan Malik","Sad🥺❤️","Playlist","INS181601918","7krjnlTFuibUkOCUuNczXk"
"Teri Jhuki Nazar","Pritam","Murder 3 (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS171300001","3beYHVCFKzbdNjJqjKeYpM"
"Hawa Banke","Darshan Raval","Hawa Banke","Sad🥺❤️","Playlist","QM6P41937543","1L3Nsi7YXtBxTdnbqektia"
"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")","Vishal Mishra","Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")","Sad🥺❤️","Playlist","QZ8BZ2304898","0645eBDehHcqfiF15hscQV"
"Kya Baat Ay","Harrdy Sandhu","Kya Baat Ay","Sad🥺❤️","Playlist","INS171806873","1ZaeaGLhFSckG8sv1y7AWk"
"Shyama Aan Baso","Parampara Tandon","Shyama Aan Baso","Sad🥺❤️","Playlist","INS182402406","4NN615M7ogRkhby3wmxlgN"
"Phir Bhi Tumko Chaahunga","Mithoon","The Arijit Singh Collection","Sad🥺❤️","Playlist","INZ031402279","1fcCPXmH4vUzG6UQTTjZp5"
"Andaaz e Karam","Madhur Sharma","Andaaz e Karam","Sad🥺❤️","Playlist","INUM72501284","0qheD9ZwdmVKu5ktHXFbb0"
"Baarish Ban Jaana","Payal Dev","Baarish Ban Jaana","Sad🥺❤️","Playlist","INUM72100032","3sFlG5sYt712TtjvWM8Ocb"
"Kun Faya Kun","A.R. Rahman","Rockstar","Sad🥺❤️","Playlist","INS181103501","7F8RNvTQlvbeBLeenycvN6"
"Karunamai Kripa Kijiye Shri Radhey","Chitra Vichitra Ji Maharaj","Tohe Mil Jaye Saawariya","Sad🥺❤️","Playlist","INV582209946","6Ah3Vol04rhvz4q9VMh6Lm"
